Daily Price Range,Percentage Change
0.0,
0.0,0.4985226556444692
0.0,0.8132999534276293
0.0,0.954274510829345
0.0,0.0
0.0,0.16401863384948961
0.0,-0.5331611585257086
0.0,0.6109182341161153
0.0,0.0
0.0,-1.381926793330754
0.0,-0.10537933623986237
0.0,-0.11492679432869399
0.0,0.12451579296499658
0.0,-0.6792819344898648
0.0,-0.9597160807933816
0.0,-0.13362369480771003
0.0,0.8140628661599514
0.0,-0.8750534760708325
0.0,-0.3952799225214309
0.0,0.04507361451096655
0.0,-0.3282795027834072
0.0,0.7491446215943502
0.0,1.0873093342852536
0.0,0.1577354183462694
0.0,-0.3687835552185824
0.0,-0.5758858466333826
0.0,-0.24527585865004733
0.0,0.0
0.0,0.7472274058420283
0.0,-0.67093354181049
0.0,-0.1992789115646286
0.0,-0.7963090849607476
0.0,0.3500241014332591
0.0,-0.32705213336466604
0.0,-1.0126504419150606
0.0,-0.10042129082049327
0.0,-0.36695217554603865
0.0,-0.19604749791250498
0.0,-0.29916866933580966
0.0,-0.543246992618182
0.0,-0.3265649712645948
0.0,0.4390628859551922
0.0,0.4313625567498237
0.0,-0.2794666182167585
0.0,-1.542610592292607
0.0,-1.0537478556104813
0.0,-0.4319380673229099
0.0,-0.7423220253625982
0.0,0.964253020426008
0.0,1.0741079006953351
0.0,-0.611702165030439
0.0,-0.45884104003182674
0.0,0.5859748012308635
0.0,-0.5758006189045711
0.0,0.0
0.0,-0.6879924793006412
0.0,-0.919685015398563
0.0,0.001719631749492988
0.0,0.4926300280899231
0.0,2.23776142766392
0.0,-4.120996003735866
0.0,-0.6167773905754599
0.0,-0.45817455514932265
0.0,0.08779776500390668
0.0,-0.36506332767433247
0.0,2.6626408737332845
0.0,0.48423539075744004
0.0,1.994863307899499
0.0,-0.2155359566888179
0.0,-1.4882596376038928
0.0,-1.1685267411865867
0.0,-0.6246729876729028
0.0,1.7071868486589714
0.0,-1.1637832571042066
0.0,-1.0520685597849502
0.0,-0.4365663241153482
0.0,-0.9998548900752106
0.0,2.204745622730675
0.0,-0.982919009075155
0.0,0.9635508274825851
0.0,0.5121379759591743
0.0,1.8242299494523033
0.0,0.0
0.0,0.47648760258845435
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-1.1158897226523428
0.0,-0.07563364237837394
0.0,-0.011181975300902614
0.0,0.11784903225806599
0.0,-0.5756614595086331
0.0,0.23245857546586213
0.0,-0.809581684120266
0.0,-0.12777134884470503
0.0,-0.15230635335073978
0.0,-0.5630822401394657
0.0,0.03856458988594744
0.0,0.12792872826562277
0.0,-0.7928603967644541
0.0,-0.7762717078046946
0.0,-0.6374227465898002
0.0,-1.4906173159270357
0.0,-1.7702079927338814
0.0,1.3952682694078813
0.0,-0.34196608444937626
0.0,2.4166202662752307
0.0,1.0774919046737055
0.0,-0.9537458468888392
0.0,-0.5363541221080548
0.0,-0.4575939335750981
0.0,-0.7274132141063058
0.0,-0.9960476904754558
0.0,0.2531236804915517
0.0,-1.175510531466545
0.0,-1.0386185741734777
0.0,-0.5977056996044434
0.0,-0.6662473783477975
0.0,2.331374153043752
0.0,-0.42676749580538736
0.0,2.6431808882822105
0.0,-1.1648220303978754
0.0,-0.04673973619458762
0.0,0.5409591271407965
0.0,-2.202344030478673
0.0,-0.4373385972999959
0.0,-0.7127323836485526
0.0,0.42259586867299925
0.0,0.12211734484823658
0.0,-1.5780304499803273
0.0,-0.1992208439455193
0.0,-0.9035473629591405
0.0,0.08963017407607463
0.0,-0.5296355394599079
0.0,-1.2062502145372598
0.0,0.6153935914648117
0.0,0.6203916043438839
0.0,-0.8188590972347559
0.0,1.2969821114523286
0.0,-0.04334913461576968
0.0,0.0
0.0,0.7874470701779961
0.0,-0.9199662942918198
0.0,-0.7933798322917575
0.0,0.6314141315891838
0.0,1.7131787983139681
0.0,1.343068000645406
0.0,1.802689395284766
0.0,1.0862178007099628
0.0,2.131791473257179
0.0,-0.7942267261029459
0.0,2.1247037621616673
0.0,1.620693999329756
0.0,-0.6795439291522251
0.0,0.41016441834660794
0.0,-1.5270645701361012
